IMRP_Date,Settlement_Period,IMRP_Amount
2016-07-07 00:00:00.0000000,19,44.55
2016-07-07 00:00:00.0000000,20,49.93
2016-07-07 00:00:00.0000000,21,38.62
2016-07-07 00:00:00.0000000,22,34.29
2016-07-07 00:00:00.0000000,23,32.85
2016-07-07 00:00:00.0000000,24,43.08
2016-07-08 00:00:00.0000000,1,32.37
2016-07-08 00:00:00.0000000,2,29.01
2016-07-08 00:00:00.0000000,3,26.47
2016-07-08 00:00:00.0000000,4,24.92
2016-07-08 00:00:00.0000000,5,23.90
2016-07-08 00:00:00.0000000,6,26.43
2016-07-08 00:00:00.0000000,7,34.92
2016-07-08 00:00:00.0000000,8,34.93
2016-07-08 00:00:00.0000000,9,44.93
2016-07-08 00:00:00.0000000,10,44.98
2016-07-08 00:00:00.0000000,11,43.85
2016-07-08 00:00:00.0000000,12,41.44
2016-07-08 00:00:00.0000000,13,39.21
2016-07-08 00:00:00.0000000,14,34.01
2016-07-08 00:00:00.0000000,15,30.55
2016-07-08 00:00:00.0000000,16,30.96
2016-07-08 00:00:00.0000000,17,39.93
2016-07-08 00:00:00.0000000,18,45.00
2016-07-08 00:00:00.0000000,19,43.00
2016-07-08 00:00:00.0000000,20,43.00
2016-07-08 00:00:00.0000000,21,40.58
2016-07-08 00:00:00.0000000,22,39.17
2016-07-08 00:00:00.0000000,23,39.08
2016-07-08 00:00:00.0000000,24,65.94
2016-07-09 00:00:00.0000000,1,46.65
2016-07-09 00:00:00.0000000,2,44.00
2016-07-09 00:00:00.0000000,3,35.16
2016-07-09 00:00:00.0000000,4,32.87
2016-07-09 00:00:00.0000000,5,25.99
2016-07-09 00:00:00.0000000,6,23.99
2016-07-09 00:00:00.0000000,7,31.44
2016-07-09 00:00:00.0000000,8,28.35
2016-07-09 00:00:00.0000000,9,44.05
2016-07-09 00:00:00.0000000,10,49.00
2016-07-09 00:00:00.0000000,11,47.98
2016-07-09 00:00:00.0000000,12,46.00
2016-07-09 00:00:00.0000000,13,39.05
2016-07-09 00:00:00.0000000,14,31.09
2016-07-09 00:00:00.0000000,15,27.98
2016-07-09 00:00:00.0000000,16,30.01
2016-07-09 00:00:00.0000000,17,28.99
2016-07-09 00:00:00.0000000,18,34.96
2016-07-09 00:00:00.0000000,19,41.00
2016-07-09 00:00:00.0000000,20,36.99
2016-07-09 00:00:00.0000000,21,31.03
2016-07-09 00:00:00.0000000,22,31.68
2016-07-09 00:00:00.0000000,23,30.61
2016-07-09 00:00:00.0000000,24,47.35
2016-07-10 00:00:00.0000000,1,50.01
2016-07-10 00:00:00.0000000,2,38.88
2016-07-10 00:00:00.0000000,3,34.95
2016-07-10 00:00:00.0000000,4,29.92
2016-07-10 00:00:00.0000000,5,25.04
2016-07-10 00:00:00.0000000,6,23.41
2016-07-10 00:00:00.0000000,7,27.00
2016-07-10 00:00:00.0000000,8,16.75
2016-07-10 00:00:00.0000000,9,20.00
2016-07-10 00:00:00.0000000,10,30.32
2016-07-10 00:00:00.0000000,11,31.00
2016-07-10 00:00:00.0000000,12,45.04
2016-07-10 00:00:00.0000000,13,46.45
2016-07-10 00:00:00.0000000,14,30.70
2016-07-10 00:00:00.0000000,15,26.95
2016-07-10 00:00:00.0000000,16,27.73
2016-07-10 00:00:00.0000000,17,30.05
2016-07-10 00:00:00.0000000,18,38.04
2016-07-10 00:00:00.0000000,19,47.97
2016-07-10 00:00:00.0000000,20,44.40
2016-07-10 00:00:00.0000000,21,38.50
2016-07-10 00:00:00.0000000,22,45.29
2016-07-10 00:00:00.0000000,23,39.80
2016-07-10 00:00:00.0000000,24,35.52
2016-07-11 00:00:00.0000000,1,29.10
2016-07-11 00:00:00.0000000,2,23.72
2016-07-11 00:00:00.0000000,3,17.55
2016-07-11 00:00:00.0000000,4,17.38
2016-07-11 00:00:00.0000000,5,19.43
2016-07-11 00:00:00.0000000,6,24.16
2016-07-11 00:00:00.0000000,7,30.96
2016-07-11 00:00:00.0000000,8,28.96
2016-07-11 00:00:00.0000000,9,32.50
2016-07-11 00:00:00.0000000,10,36.20
2016-07-11 00:00:00.0000000,11,36.00
2016-07-11 00:00:00.0000000,12,34.00
2016-07-11 00:00:00.0000000,13,32.50
2016-07-11 00:00:00.0000000,14,30.65
2016-07-11 00:00:00.0000000,15,29.02
2016-07-11 00:00:00.0000000,16,30.90
2016-07-11 00:00:00.0000000,17,42.35
2016-07-11 00:00:00.0000000,18,54.09
2016-07-11 00:00:00.0000000,19,49.97
2016-07-11 00:00:00.0000000,20,44.94
2016-07-11 00:00:00.0000000,21,38.55
2016-07-11 00:00:00.0000000,22,37.82
2016-07-11 00:00:00.0000000,23,37.57
2016-07-11 00:00:00.0000000,24,40.01
2016-07-12 00:00:00.0000000,1,34.29
2016-07-12 00:00:00.0000000,2,32.00
2016-07-12 00:00:00.0000000,3,30.00
2016-07-12 00:00:00.0000000,4,29.33
2016-07-12 00:00:00.0000000,5,29.41
2016-07-12 00:00:00.0000000,6,31.00
2016-07-12 00:00:00.0000000,7,50.03
2016-07-12 00:00:00.0000000,8,32.00
2016-07-12 00:00:00.0000000,9,44.14
2016-07-12 00:00:00.0000000,10,47.78
2016-07-12 00:00:00.0000000,11,49.00
2016-07-12 00:00:00.0000000,12,46.07
2016-07-12 00:00:00.0000000,13,44.07
2016-07-12 00:00:00.0000000,14,39.90
2016-07-12 00:00:00.0000000,15,30.94
2016-07-12 00:00:00.0000000,16,32.44
2016-07-12 00:00:00.0000000,17,47.91
2016-07-12 00:00:00.0000000,18,55.00
2016-07-12 00:00:00.0000000,19,48.82
2016-07-12 00:00:00.0000000,20,46.26
2016-07-12 00:00:00.0000000,21,38.00
2016-07-12 00:00:00.0000000,22,39.56
2016-07-12 00:00:00.0000000,23,35.26
2016-07-12 00:00:00.0000000,24,40.52
2016-07-13 00:00:00.0000000,1,35.00
2016-07-13 00:00:00.0000000,2,31.90
2016-07-13 00:00:00.0000000,3,29.21
2016-07-13 00:00:00.0000000,4,27.97
2016-07-13 00:00:00.0000000,5,27.91
2016-07-13 00:00:00.0000000,6,29.57
2016-07-13 00:00:00.0000000,7,34.94
2016-07-13 00:00:00.0000000,8,34.91
2016-07-13 00:00:00.0000000,9,43.80
2016-07-13 00:00:00.0000000,10,45.96
2016-07-13 00:00:00.0000000,11,44.38
2016-07-13 00:00:00.0000000,12,41.78
2016-07-13 00:00:00.0000000,13,37.90
2016-07-13 00:00:00.0000000,14,34.42
2016-07-13 00:00:00.0000000,15,30.08
2016-07-13 00:00:00.0000000,16,30.18
2016-07-13 00:00:00.0000000,17,44.02
2016-07-13 00:00:00.0000000,18,48.92
2016-07-13 00:00:00.0000000,19,45.74
2016-07-13 00:00:00.0000000,20,46.26
2016-07-13 00:00:00.0000000,21,41.22
2016-07-13 00:00:00.0000000,22,34.70
2016-07-13 00:00:00.0000000,23,31.72
2016-07-13 00:00:00.0000000,24,37.57
2016-07-14 00:00:00.0000000,1,33.96
2016-07-14 00:00:00.0000000,2,29.49
2016-07-14 00:00:00.0000000,3,28.37
2016-07-14 00:00:00.0000000,4,26.10
2016-07-14 00:00:00.0000000,5,25.67
2016-07-14 00:00:00.0000000,6,28.93
2016-07-14 00:00:00.0000000,7,34.90
2016-07-14 00:00:00.0000000,8,34.17
2016-07-14 00:00:00.0000000,9,39.60
2016-07-14 00:00:00.0000000,10,43.07
2016-07-14 00:00:00.0000000,11,43.88
2016-07-14 00:00:00.0000000,12,42.00
2016-07-14 00:00:00.0000000,13,40.00
2016-07-14 00:00:00.0000000,14,35.02
2016-07-14 00:00:00.0000000,15,30.71
2016-07-14 00:00:00.0000000,16,31.00
2016-07-14 00:00:00.0000000,17,48.87
2016-07-14 00:00:00.0000000,18,55.00
2016-07-14 00:00:00.0000000,19,50.01
2016-07-14 00:00:00.0000000,20,44.61
2016-07-14 00:00:00.0000000,21,37.71
2016-07-14 00:00:00.0000000,22,35.99
2016-07-14 00:00:00.0000000,23,37.58
2016-07-14 00:00:00.0000000,24,40.07
2016-07-15 00:00:00.0000000,1,34.40
2016-07-15 00:00:00.0000000,2,30.00
2016-07-15 00:00:00.0000000,3,28.89
2016-07-15 00:00:00.0000000,4,28.50
2016-07-15 00:00:00.0000000,5,28.11
2016-07-15 00:00:00.0000000,6,28.12
2016-07-15 00:00:00.0000000,7,33.53
2016-07-15 00:00:00.0000000,8,43.90
2016-07-15 00:00:00.0000000,9,57.99
2016-07-15 00:00:00.0000000,10,60.06
2016-07-15 00:00:00.0000000,11,55.07
2016-07-15 00:00:00.0000000,12,47.91
2016-07-15 00:00:00.0000000,13,39.82
2016-07-15 00:00:00.0000000,14,38.82
2016-07-15 00:00:00.0000000,15,35.06
2016-07-15 00:00:00.0000000,16,32.42
2016-07-15 00:00:00.0000000,17,38.00
2016-07-15 00:00:00.0000000,18,41.90
2016-07-15 00:00:00.0000000,19,37.53
2016-07-15 00:00:00.0000000,20,34.82
2016-07-15 00:00:00.0000000,21,34.42
2016-07-15 00:00:00.0000000,22,34.42
2016-07-15 00:00:00.0000000,23,31.18
2016-07-15 00:00:00.0000000,24,40.53
2016-07-16 00:00:00.0000000,1,35.47
2016-07-16 00:00:00.0000000,2,35.97
2016-07-16 00:00:00.0000000,3,25.70
2016-07-16 00:00:00.0000000,4,24.99
2016-07-16 00:00:00.0000000,5,25.70
2016-07-16 00:00:00.0000000,6,28.26
2016-07-16 00:00:00.0000000,7,31.92
2016-07-16 00:00:00.0000000,8,29.94
2016-07-16 00:00:00.0000000,9,37.85
2016-07-16 00:00:00.0000000,10,45.20
2016-07-16 00:00:00.0000000,11,46.97
2016-07-16 00:00:00.0000000,12,44.47
2016-07-16 00:00:00.0000000,13,40.85
2016-07-16 00:00:00.0000000,14,33.00
2016-07-16 00:00:00.0000000,15,29.68
2016-07-16 00:00:00.0000000,16,29.90
2016-07-16 00:00:00.0000000,17,34.00
2016-07-16 00:00:00.0000000,18,39.93
2016-07-16 00:00:00.0000000,19,46.93
2016-07-16 00:00:00.0000000,20,46.98
2016-07-16 00:00:00.0000000,21,39.09
2016-07-16 00:00:00.0000000,22,43.72
2016-07-16 00:00:00.0000000,23,40.90
2016-07-16 00:00:00.0000000,24,45.81
2016-07-17 00:00:00.0000000,1,33.88
2016-07-17 00:00:00.0000000,2,32.20
2016-07-17 00:00:00.0000000,3,34.13
2016-07-17 00:00:00.0000000,4,31.98
2016-07-17 00:00:00.0000000,5,31.94
2016-07-17 00:00:00.0000000,6,30.08
2016-07-17 00:00:00.0000000,7,28.95
2016-07-17 00:00:00.0000000,8,22.07
2016-07-17 00:00:00.0000000,9,25.36
2016-07-17 00:00:00.0000000,10,30.11
2016-07-17 00:00:00.0000000,11,38.46
2016-07-17 00:00:00.0000000,12,41.23
2016-07-17 00:00:00.0000000,13,43.38
2016-07-17 00:00:00.0000000,14,35.00
2016-07-17 00:00:00.0000000,15,30.11
2016-07-17 00:00:00.0000000,16,30.24
2016-07-17 00:00:00.0000000,17,35.00
2016-07-17 00:00:00.0000000,18,34.42
2016-07-17 00:00:00.0000000,19,43.94
2016-07-17 00:00:00.0000000,20,54.40
2016-07-17 00:00:00.0000000,21,47.23
2016-07-17 00:00:00.0000000,22,49.41
2016-07-17 00:00:00.0000000,23,44.98
2016-07-17 00:00:00.0000000,24,46.00
2016-07-18 00:00:00.0000000,1,28.42
2016-07-18 00:00:00.0000000,2,34.44
2016-07-18 00:00:00.0000000,3,31.96
2016-07-18 00:00:00.0000000,4,30.00
2016-07-18 00:00:00.0000000,5,30.00
2016-07-18 00:00:00.0000000,6,33.38
2016-07-18 00:00:00.0000000,7,37.10
2016-07-18 00:00:00.0000000,8,33.19
2016-07-18 00:00:00.0000000,9,39.36
2016-07-18 00:00:00.0000000,10,46.70
2016-07-18 00:00:00.0000000,11,40.00
2016-07-18 00:00:00.0000000,12,39.44
2016-07-18 00:00:00.0000000,13,35.45
2016-07-18 00:00:00.0000000,14,35.90
2016-07-18 00:00:00.0000000,15,37.83
2016-07-18 00:00:00.0000000,16,38.00
2016-07-18 00:00:00.0000000,17,50.00
2016-07-18 00:00:00.0000000,18,64.93
2016-07-18 00:00:00.0000000,19,60.15
2016-07-18 00:00:00.0000000,20,46.74
2016-07-18 00:00:00.0000000,21,39.61
2016-07-18 00:00:00.0000000,22,41.20
2016-07-18 00:00:00.0000000,23,34.46
2016-07-18 00:00:00.0000000,24,41.00
2016-07-19 00:00:00.0000000,1,32.93
2016-07-19 00:00:00.0000000,2,31.92
2016-07-19 00:00:00.0000000,3,29.82
2016-07-19 00:00:00.0000000,4,28.31
2016-07-19 00:00:00.0000000,5,26.43
2016-07-19 00:00:00.0000000,6,29.05
2016-07-19 00:00:00.0000000,7,33.33
2016-07-19 00:00:00.0000000,8,34.42
2016-07-19 00:00:00.0000000,9,44.06
2016-07-19 00:00:00.0000000,10,47.91
2016-07-19 00:00:00.0000000,11,43.05
2016-07-19 00:00:00.0000000,12,38.59
2016-07-19 00:00:00.0000000,13,39.00
2016-07-19 00:00:00.0000000,14,37.45
2016-07-19 00:00:00.0000000,15,35.88
2016-07-19 00:00:00.0000000,16,43.81
2016-07-19 00:00:00.0000000,17,48.96
2016-07-19 00:00:00.0000000,18,49.59
2016-07-19 00:00:00.0000000,19,40.54
2016-07-19 00:00:00.0000000,20,40.04
2016-07-19 00:00:00.0000000,21,35.67
2016-07-19 00:00:00.0000000,22,37.59
2016-07-19 00:00:00.0000000,23,30.90
2016-07-19 00:00:00.0000000,24,39.00
2016-07-20 00:00:00.0000000,1,30.58
2016-07-20 00:00:00.0000000,2,28.00
2016-07-20 00:00:00.0000000,3,31.92
2016-07-20 00:00:00.0000000,4,29.93
2016-07-20 00:00:00.0000000,5,29.95
2016-07-20 00:00:00.0000000,6,29.95
2016-07-20 00:00:00.0000000,7,33.07
2016-07-20 00:00:00.0000000,8,33.55
2016-07-20 00:00:00.0000000,9,43.95
2016-07-20 00:00:00.0000000,10,48.46
2016-07-20 00:00:00.0000000,11,45.80
2016-07-20 00:00:00.0000000,12,44.07
2016-07-20 00:00:00.0000000,13,39.11
2016-07-20 00:00:00.0000000,14,39.32
2016-07-20 00:00:00.0000000,15,39.05
2016-07-20 00:00:00.0000000,16,38.82
2016-07-20 00:00:00.0000000,17,46.45
2016-07-20 00:00:00.0000000,18,46.00
2016-07-20 00:00:00.0000000,19,41.94
2016-07-20 00:00:00.0000000,20,42.10
2016-07-20 00:00:00.0000000,21,33.67
2016-07-20 00:00:00.0000000,22,37.88
2016-07-20 00:00:00.0000000,23,34.33
2016-07-20 00:00:00.0000000,24,38.07
2016-07-21 00:00:00.0000000,1,30.95
2016-07-21 00:00:00.0000000,2,29.51
2016-07-21 00:00:00.0000000,3,29.00
2016-07-21 00:00:00.0000000,4,28.74
2016-07-21 00:00:00.0000000,5,29.25
2016-07-21 00:00:00.0000000,6,29.60
2016-07-21 00:00:00.0000000,7,34.98
2016-07-21 00:00:00.0000000,8,40.53
2016-07-21 00:00:00.0000000,9,46.40
2016-07-21 00:00:00.0000000,10,44.92
2016-07-21 00:00:00.0000000,11,42.76
2016-07-21 00:00:00.0000000,12,43.09
2016-07-21 00:00:00.0000000,13,42.02
2016-07-21 00:00:00.0000000,14,40.29
2016-07-21 00:00:00.0000000,15,38.48
2016-07-21 00:00:00.0000000,16,38.58
2016-07-21 00:00:00.0000000,17,52.01
2016-07-21 00:00:00.0000000,18,57.95
2016-07-21 00:00:00.0000000,19,51.41
2016-07-21 00:00:00.0000000,20,46.98
2016-07-21 00:00:00.0000000,21,38.50
2016-07-21 00:00:00.0000000,22,40.56
2016-07-21 00:00:00.0000000,23,36.00
2016-07-21 00:00:00.0000000,24,39.00
2016-07-22 00:00:00.0000000,1,31.88
2016-07-22 00:00:00.0000000,2,30.58
2016-07-22 00:00:00.0000000,3,30.45
2016-07-22 00:00:00.0000000,4,30.18
2016-07-22 00:00:00.0000000,5,30.42
2016-07-22 00:00:00.0000000,6,30.50
2016-07-22 00:00:00.0000000,7,35.01
2016-07-22 00:00:00.0000000,8,35.30
2016-07-22 00:00:00.0000000,9,47.35
2016-07-22 00:00:00.0000000,10,50.02
2016-07-22 00:00:00.0000000,11,50.55
2016-07-22 00:00:00.0000000,12,51.27
2016-07-22 00:00:00.0000000,13,49.92
2016-07-22 00:00:00.0000000,14,47.09
2016-07-22 00:00:00.0000000,15,37.09
2016-07-22 00:00:00.0000000,16,36.55
2016-07-22 00:00:00.0000000,17,41.83
2016-07-22 00:00:00.0000000,18,47.58
2016-07-22 00:00:00.0000000,19,39.99
2016-07-22 00:00:00.0000000,20,37.86
2016-07-22 00:00:00.0000000,21,36.92
2016-07-22 00:00:00.0000000,22,40.04
2016-07-22 00:00:00.0000000,23,38.58
2016-07-22 00:00:00.0000000,24,42.69
2016-07-23 00:00:00.0000000,1,39.53
2016-07-23 00:00:00.0000000,2,40.50
2016-07-23 00:00:00.0000000,3,39.40
2016-07-23 00:00:00.0000000,4,34.88
2016-07-23 00:00:00.0000000,5,33.53
2016-07-23 00:00:00.0000000,6,31.97
2016-07-23 00:00:00.0000000,7,34.21
2016-07-23 00:00:00.0000000,8,30.40
2016-07-23 00:00:00.0000000,9,39.98
2016-07-23 00:00:00.0000000,10,45.91
2016-07-23 00:00:00.0000000,11,46.86
2016-07-23 00:00:00.0000000,12,44.92
2016-07-23 00:00:00.0000000,13,38.56
2016-07-23 00:00:00.0000000,14,31.81
2016-07-23 00:00:00.0000000,15,30.08
2016-07-23 00:00:00.0000000,16,30.05
2016-07-23 00:00:00.0000000,17,32.06
2016-07-23 00:00:00.0000000,18,41.87
2016-07-23 00:00:00.0000000,19,43.99
2016-07-23 00:00:00.0000000,20,46.10
2016-07-23 00:00:00.0000000,21,37.96
2016-07-23 00:00:00.0000000,22,46.21
2016-07-23 00:00:00.0000000,23,45.25
2016-07-23 00:00:00.0000000,24,44.83
2016-07-24 00:00:00.0000000,1,39.58
2016-07-24 00:00:00.0000000,2,47.89
2016-07-24 00:00:00.0000000,3,42.00
2016-07-24 00:00:00.0000000,4,34.01
2016-07-24 00:00:00.0000000,5,31.98
2016-07-24 00:00:00.0000000,6,30.20
2016-07-24 00:00:00.0000000,7,31.87
2016-07-24 00:00:00.0000000,8,28.94
2016-07-24 00:00:00.0000000,9,33.00
2016-07-24 00:00:00.0000000,10,36.95
2016-07-24 00:00:00.0000000,11,43.02
2016-07-24 00:00:00.0000000,12,45.00
2016-07-24 00:00:00.0000000,13,42.03
2016-07-24 00:00:00.0000000,14,31.90
2016-07-24 00:00:00.0000000,15,30.54
2016-07-24 00:00:00.0000000,16,30.58
2016-07-24 00:00:00.0000000,17,33.01
2016-07-24 00:00:00.0000000,18,42.00
2016-07-24 00:00:00.0000000,19,48.00
2016-07-24 00:00:00.0000000,20,45.06
2016-07-24 00:00:00.0000000,21,39.46
2016-07-24 00:00:00.0000000,22,55.00
2016-07-24 00:00:00.0000000,23,37.12
2016-07-24 00:00:00.0000000,24,42.00
2016-07-25 00:00:00.0000000,1,38.00
2016-07-25 00:00:00.0000000,2,34.91
2016-07-25 00:00:00.0000000,3,32.41
2016-07-25 00:00:00.0000000,4,30.77
2016-07-25 00:00:00.0000000,5,30.91
